name,description,location,ppu,uom
Wooden Chair,Sturdy oak chair with a polished finish,"123 Juan Luna St., Binondo, Manila",2500,piece
Water Bottle,"BPA-free stainless steel water bottle, 1L capacity","456 Taft Avenue, Ermita, Manila",750,unit
Cotton Bedsheet Set,Organic cotton bedsheet with pillow covers,"789 Recto Ave., Quiapo, Manila",1200,set
LED Desk Lamp,Adjustable LED desk lamp with 5 brightness levels,"234 Roxas Blvd., Malate, Manila",650,piece
Cleaning Spray,"All-purpose eco-friendly cleaning spray, 500ml","567 P. Burgos St., Intramuros, Manila",150,bottle
A4 Printing Paper,"Pack of 500 sheets, 80 GSM A4-size printing paper","890 M.H. Del Pilar St., Malate, Manila",400,pack
Wireless Keyboard,Ergonomic wireless keyboard with soft-touch keys,"345 Pedro Gil St., Paco, Manila",1800,unit
Headphones,Over-ear noise-canceling headphones with mic,"678 Kalaw Ave., Ermita, Manila",4500,unit
Office Chair,Adjustable office chair with lumbar support,"123 Natividad St., Sampaloc, Manila",7500,piece
Silicone Food Bags,Reusable silicone food storage bags (pack of 3),"456 P. Noval St., Sampaloc, Manila",500,set
